pattern,prob_feature,occur_feature,log_occur_feature,prob_log_occur,constant,outsideSentence,new_outside,frequency,quote,dash,parenthesis,capital,avg_idf,stop_ratio,first_stop,last_stop
achieved state of the art results,215.6754729289,0.0521342706,16.9933681202,0.0004875934,1,0.2575200024,1.4087855173,10,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0105275263,0.3333333333,0,0
outperform the state of the art,111.3254830805,0.0519004150,16.3244340292,0.0005131060,1,0.3369313936,2.7418525629,12,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0149479731,0.5000000000,0,0
best of our knowledge this is,89.7400505588,0.0438470660,18.5412644566,0.0006936528,1,0.3861112266,1.0994705739,17,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0080308089,0.8333333333,1,1
can be trained end to end,110.2714285714,0.0516541283,16.2914788816,0.0005120702,1,0.2535137927,0.8503717875,12,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0062382953,0.5000000000,1,0
demonstrate the effectiveness of our approach,197.1167527822,0.0661212453,17.5243694870,0.0005273720,1,0.3732024697,1.5293402863,11,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0109298547,0.5000000000,0,0
demonstrate the effectiveness of the proposed,172.3545736392,0.0812589339,22.4463847473,0.0008877722,1,0.3686637716,2.2373491607,19,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0148900905,0.5000000000,0,0
over the state of the art,29.9065168363,0.0300754033,13.1606933491,0.0004624904,1,0.4419708684,2.7091181854,15,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0153498400,0.6666666667,1,0
achieves state of the art performance,169.5200110586,0.0602639881,21.1637815205,0.0007917646,1,0.2952319792,1.4325893781,17,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0105654429,0.3333333333,0,0
achieves state of the art results,129.4052837573,0.0477818483,18.1954898480,0.0006177406,1,0.2391764436,1.3107994447,14,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0105613300,0.3333333333,0,0
this paper we present a new,47.3104275575,0.0308859774,12.1960534192,0.0003499433,1,0.2767199256,0.6604640023,10,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0078631894,0.6666666667,1,1
this paper we propose a new,82.3700718213,0.0783914139,26.8324168974,0.0014809452,1,0.2972725380,0.7369679840,37,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0080263572,0.6666666667,1,1
this paper we propose a novel,84.3847992537,0.0984810005,33.4864396335,0.0022939542,1,0.2848827715,0.6529015250,57,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0078277759,0.6666666667,1,1
this work we propose a novel,81.7492994505,0.0497245158,17.0552911542,0.0005993536,1,0.2929956895,0.7915923274,15,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0076556803,0.8333333333,1,1
this work we propose a new,84.4228296193,0.0432722232,14.7120098063,0.0004427379,1,0.2543897959,0.4929167041,11,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0078542616,0.8333333333,1,1
have achieved state of the art,155.8556763127,0.0614093992,17.4900080475,0.0005497421,1,0.2766779767,1.5157332651,12,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0104501620,0.5000000000,1,0
neural networks in this paper we,2.9972602232,0.0081534513,3.6406544304,0.0001095605,1,0.6978342459,0.5020490564,11,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0082382918,0.5000000000,0,1
in this paper we develop a,23.7375659054,0.0189466153,10.9710136864,0.0003448385,1,0.3163973640,0.7111744147,12,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0088819924,0.6666666667,1,1
in this paper we present an,32.1508338800,0.0291694802,15.9035466055,0.0006612748,1,0.2958843660,0.4041486403,21,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0077355904,0.6666666667,1,1
in this paper we present the,1.7618613472,0.0049420272,1.8784395481,0.0000565291,1,0.3781045970,1.2601126919,11,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0118647631,0.6666666667,1,1
in this paper we study the,12.6403811645,0.0178491691,11.3453462471,0.0004603743,1,0.3328452724,1.3863725600,20,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0116823701,0.6666666667,1,1
in this paper we consider the,9.6289962400,0.0130339920,8.4740270290,0.0002876949,1,0.4359242319,1.5534049198,14,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0115611587,0.8333333333,1,1
in this paper we explore the,10.6294114338,0.0141750030,9.1542795739,0.0003216978,1,0.3705753153,1.5720997664,15,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0115370805,0.6666666667,1,1
in this paper we propose an,15.4918209455,0.0202480779,12.5576881013,0.0005221529,1,0.2561952014,0.4138350860,21,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0078987582,0.6666666667,1,1
in this paper we propose the,1.0804814263,0.0043661192,0.2896293766,0.0000098330,1,0.3175469476,1.3762229447,14,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0120279309,0.6666666667,1,1
in this paper we investigate the,9.8064892582,0.0126750995,8.2316334167,0.0002692998,1,0.3811344488,1.2241179163,13,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0115180619,0.6666666667,1,1
in this paper we focus on,39.5594272102,0.0296213095,12.1978960121,0.0003670791,1,0.3570143214,0.8596707773,11,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0077405974,0.6666666667,1,1
in this paper we address the,14.3905877872,0.0170342172,10.6662974680,0.0003871257,1,0.3791689399,1.7252049610,16,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0115760000,0.6666666667,1,1
in this work we propose a,30.3313342125,0.0478899413,26.4306427803,0.0018576406,1,0.3386954972,0.7334483611,60,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0091449168,0.8333333333,1,1
