DISPLAY_NAME,NORMALIZED_NAME,FREQUENCY
Computer science,computer science,620093
Mathematics,mathematics,200949
Artificial intelligence,artificial intelligence,192010
Algorithm,algorithm,78192
Discrete mathematics,discrete mathematics,76550
Combinatorics,combinatorics,69412
Theoretical computer science,theoretical computer science,54341
Computer network,computer network,52332
Computer vision,computer vision,50338
Pattern recognition,pattern recognition,45936
Machine learning,machine learning,43267
Distributed computing,distributed computing,41722
Data mining,data mining,40770
Mathematical optimization,mathematical optimization,39281
Engineering,engineering,32823
Programming language,programming language,32754
World Wide Web,world wide web,31981
Natural language processing,natural language processing,28284
Software,software,28151
Information retrieval,information retrieval,27269
Computer security,computer security,24376
Parallel computing,parallel computing,24057
Multimedia,multimedia,23919
Software engineering,software engineering,23846
Human–computer interaction,human computer interaction,23399
Artificial neural network,artificial neural network,22538
Control theory,control theory,22496
Biology,biology,22124
Graph,graph,21969
Computation,computation,18806
Real-time computing,real time computing,17318
Scalability,scalability,16659
Cluster analysis,cluster analysis,16635
The Internet,the internet,16502
Communication channel,channel,16271
Electronic engineering,electronic engineering,15982
Upper and lower bounds,upper and lower bounds,15413
Embedded system,embedded system,14926
Computational biology,computational biology,14714
Computer graphics (images),computer graphics images,14563
Knowledge management,knowledge management,14561
Vertex (geometry),vertex,14243
Robustness (computer science),robustness,14190
Time complexity,time complexity,13902
Speech recognition,speech recognition,13683
Algebra,algebra,13633
Database,database,13300
Data science,data science,13158
Scheduling (computing),scheduling,12722
Applied mathematics,applied mathematics,12302
Fuzzy logic,fuzzy logic,12175
Matrix (mathematics),matrix,12095
Visualization,visualization,11876
Simulation,simulation,11666
Semantics,semantics,11659
Throughput,throughput,11613
Feature extraction,feature extraction,11447
Psychology,psychology,11225
Business,business,11101
Wireless,wireless,11026
Computational complexity theory,computational complexity theory,10994
Probabilistic logic,probabilistic logic,10825
Polynomial,polynomial,10570
Nonlinear system,nonlinear system,10329
Architecture,architecture,10303
Operating system,operating system,10279
Cloud computing,cloud computing,10174
Topology,topology,10007
Segmentation,segmentation,9948
Software development,software development,9836
Wireless sensor network,wireless sensor network,9532
Inference,inference,9459
Support vector machine,support vector machine,9408
Convergence (routing),convergence,9347
Bounded function,bounded function,9159
Data structure,data structure,9076
Robot,robot,9039
Optimization problem,optimization problem,8911
Genetics,genetics,8898
Exploit,exploit,8816
Telecommunications,telecommunications,8811
Deep learning,deep learning,8727
Network packet,network packet,8720
Integer,integer,8559
Classifier (linguistics),classifier,8291
Bandwidth (signal processing),bandwidth,8167
Heuristic,heuristic,8113
Operator (computer programming),operator,8083
Ranking,ranking,7946
Control theory,controller,7926
Mathematical analysis,mathematical analysis,7923
Image processing,image processing,7885
Wireless network,wireless network,7826
Internet privacy,internet privacy,7686
Quality of service,quality of service,7468
Approximation algorithm,approximation algorithm,7451
Pixel,pixel,7406
Server,server,7227
Decoding methods,decoding methods,7137
Information system,information system,7132
Image segmentation,image segmentation,7112
Population,population,7084
Graph theory,graph theory,7076
Genetic algorithm,genetic algorithm,7070
Cryptography,cryptography,6874
Computer hardware,computer hardware,6854
Sociology,sociology,6749
Synchronization,synchronization,6704
Social network,social network,6634
User interface,user interface,6623
Statistics,statistics,6572
Encoding (memory),encoding,6561
Sampling (statistics),sampling,6498
Binary number,binary number,6464
Kernel (linear algebra),kernel,6423
Correctness,correctness,6355
Speedup,speedup,6190
Electrical engineering,electrical engineering,6128
Convolutional neural network,convolutional neural network,6096
Network topology,network topology,6054
Physics,physics,6028
Interference (wave propagation),interference,5976
Algorithm design,algorithm design,5856
Mobile device,mobile device,5843
Fuzzy set,fuzzy set,5839
Source code,source code,5784
Software system,software system,5745
Computer architecture,computer architecture,5740
Control engineering,control engineering,5740
Gene,gene,5697
Mathematics education,mathematics education,5654
Energy consumption,energy consumption,5603
DNA microarray,dna microarray,5582
Embedding,embedding,5580
Recursion,recursion,5505
Parsing,parsing,5496
Data set,data set,5469
Compiler,compiler,5414
Reinforcement learning,reinforcement learning,5412
Fault tolerance,fault tolerance,5358
Efficient energy use,efficient energy use,5357
Encryption,encryption,5335
Resource allocation,resource allocation,5325
Markov chain,markov chain,5324
Filter (signal processing),filter,5309
Discriminative model,discriminative model,5290
Mobile computing,mobile computing,5288
Genome,genome,5281
Pure mathematics,pure mathematics,5277
Cache,cache,5260
Heuristics,heuristics,5259
Syntax,syntax,5240
Operations research,operations research,5112
Perception,perception,5079
Cognitive science,cognitive science,5072
Java,java,5059
Software deployment,software deployment,5037
Calculus,calculus,4951
Theory of computation,theory of computation,4944
Linguistics,linguistics,4933
Expression (mathematics),expression,4922
Social media,social media,4911
Feature selection,feature selection,4857
Rendering (computer graphics),rendering,4856
Coding (social sciences),coding,4846
Systems engineering,systems engineering,4780
Usability,usability,4764
MIMO,mimo,4753
Invariant (mathematics),invariant,4748
Asynchronous communication,asynchronous communication,4666
Engineering management,engineering management,4654
Arithmetic,arithmetic,4652
Object detection,object detection,4634
Political science,political science,4564
Computer engineering,computer engineering,4558
Materials science,materials science,4501
Computer graphics,computer graphics,4488
Fuzzy control system,fuzzy control system,4486
Cognition,cognition,4484
Annotation,annotation,4473
Grid,grid,4462
Bayesian probability,bayesian probability,4459
Parallel algorithm,parallel algorithm,4458
Control system,control system,4443
Authentication,authentication,4439
Web service,web service,4425
Hierarchy,hierarchy,4390
Linear programming,linear programming,4383
Chemistry,chemistry,4375
Implementation,implementation,4369
Natural language,natural language,4362
Electronic circuit,electronic circuit,4336
Evolutionary algorithm,evolutionary algorithm,4334
Mathematical proof,mathematical proof,4322
Software construction,software construction,4311
Gaussian,gaussian,4290
Facial recognition system,facial recognition system,4219
Search engine indexing,search engine indexing,4209
Redundancy (engineering),redundancy,4208
Management science,management science,4170
Bioinformatics,bioinformatics,4158
Fuzzy number,fuzzy number,4149
Computational complexity,computational complexity,4143
Feature vector,feature vector,4130
Algorithms,algorithms,4115
Conjecture,conjecture,4071
Neural network,neural network,4071
Abstraction,abstraction,4057
Trajectory,trajectory,4038
Big data,big data,3999
Graphics,graphics,3997
Reliability engineering,reliability engineering,3994
Probability distribution,probability distribution,3977
Estimator,estimator,3976
Automaton,automaton,3937
Multi-agent system,multi agent system,3933
Distributed algorithm,distributed algorithm,3930
Markov process,markov process,3882
Data modeling,data modeling,3872
Empirical research,empirical research,3860
Wireless ad hoc network,wireless ad hoc network,3854
Ontology,ontology,3847
Training set,training set,3845
Statistical model,statistical model,3840
Hash function,hash function,3838
Binary logarithm,binary logarithm,3821
Field-programmable gate array,field programmable gate array,3818
CMOS,cmos,3812
Concurrency,concurrency,3803
Chordal graph,chordal graph,3795
Humanities,humanities,3778
Permutation,permutation,3770
Base station,base station,3761
Latency (engineering),latency,3743
Model checking,model checking,3738
Computational geometry,computational geometry,3719
Bipartite graph,bipartite graph,3717
Medicine,medicine,3673
Fading,fading,3660
Hidden Markov model,hidden markov model,3652
Geometry,geometry,3650
Very-large-scale integration,very large scale integration,3634
Web page,web page,3621
Detector,detector,3610
Information technology,information technology,3605
Contextual image classification,contextual image classification,3596
Public relations,public relations,3593
Equivalence (measure theory),equivalence,3592
Electronic mail,electronic mail,3586
Iterative method,iterative method,3580
Decidability,decidability,3564
Multi-core processor,multi core processor,3555
Broadcasting,broadcasting,3537
Cognitive neuroscience of visual object recognition,cognitive neuroscience of visual object recognition,3522
Signal-to-noise ratio,signal to noise ratio,3509
Signal processing,signal processing,3499
Relay,relay,3498
Interpolation,interpolation,3491
Pairwise comparison,pairwise comparison,3482
Art,art,3480
Robotics,robotics,3441
Supplementary data,supplementary data,3436
Dynamic programming,dynamic programming,3430
Resource management,resource management,3428
Regular polygon,regular polygon,3414
Modular design,modular design,3404
Workflow,workflow,3386
Telecommunications link,telecommunications link,3371
Process management,process management,3368
Finite element method,finite element method,3353
